name	l:label	uid	type	obtainable	command	label	entity:string_array
	Hypergraph		hypergraph		CommandNet>NewInstruction	l22.  broccoli with garlic sauce lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l22.  broccoli with garlic sauce lunch special	
	Token,~NoTag		token			l22	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Broccoli		token			broccoli	DBPedia>Broccoli
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Garlic		token			garlic	DBPedia>Garlic
	Token,DBPedia>Sauce		token			sauce	DBPedia>Sauce
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l23.  shrimp with broccoli lunch special	Item,Obtainable,l23.  shrimp with broccoli lunch special	N916	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l23.  shrimp with broccoli lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l23.  shrimp with broccoli lunch special	
	Token,~NoTag		token			l23	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Broccoli		token			broccoli	DBPedia>Broccoli
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l24.  shrimp with mixed vegetables lunch special	Item,Obtainable,l24.  shrimp with mixed vegetables lunch special	N917	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l24.  shrimp with mixed vegetables lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l24.  shrimp with mixed vegetables lunch special	
	Token,~NoTag		token			l24	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,CommonSense>With		token			with	CommonSense>With
	Token,~NoTag		token			mixed	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l25.  kung pao shrimp lunch special	Item,Obtainable,l25.  kung pao shrimp lunch special	N918	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l25.  kung pao shrimp lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l25.  kung pao shrimp lunch special	
	Token,~NoTag		token			l25	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			kung	~NoTag
	Token,~NoTag		token			pao	~NoTag
	Token,DBPedia>Shrimp		token			shrimp	DBPedia>Shrimp
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
